method,setting,split,pred_path,metric_path,metric_name,precision,recall,f1,tp,fp,fn
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.35,0.35,0.35,7,13,13
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.2727272727272727,0.3,0.28571428571428564,6,16,14
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.3170731707317073,0.325,0.3209876543209877,13,28,27
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.3170731707317073,0.325,0.3209876543209877,13,28,27
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.4,0.4,0.4000000000000001,8,12,12
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.23809523809523808,0.25,0.24390243902439024,5,16,15
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.4,0.4,0.4000000000000001,8,12,12
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.23809523809523808,0.25,0.24390243902439024,5,16,15
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.3,0.3,0.3,12,28,28
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.325,0.325,0.325,13,27,27
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.3,0.3,0.3,6,14,14
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.3,0.3,0.3,6,14,14
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.3,0.3,0.3,6,14,14
llm,pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.35,0.35,0.35,7,13,13
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.375,0.375,0.375,15,25,25
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.375,0.375,0.375,15,25,25
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.4,0.4,0.4000000000000001,8,12,12
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.35,0.35,0.35,7,13,13
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.4,0.4,0.4000000000000001,8,12,12
llm,pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.35,0.35,0.35,7,13,13
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.3728813559322034,0.3728813559322034,0.3728813559322034,44,74,74
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.423728813559322,0.423728813559322,0.423728813559322,50,68,68
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.2542372881355932,0.2542372881355932,0.2542372881355932,15,44,44
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.4915254237288136,0.4915254237288136,0.4915254237288136,29,30,30
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.3050847457627119,0.3050847457627119,0.3050847457627119,18,41,41
llm,pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.5423728813559322,0.5423728813559322,0.5423728813559322,32,27,27
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.2913907284768212,0.3728813559322034,0.3271375464684015,44,107,74
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.31788079470198677,0.4067796610169492,0.3568773234200744,48,103,70
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.2711864406779661,0.2711864406779661,0.2711864406779661,16,43,43
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.30434782608695654,0.4745762711864407,0.37086092715231783,28,64,31
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.3220338983050847,0.3220338983050847,0.3220338983050847,19,40,40
llm,pi_test59_baseline_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.31521739130434784,0.4915254237288136,0.3841059602649007,29,63,30
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.2857142857142857,0.3220338983050847,0.30278884462151395,38,95,80
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.3458646616541353,0.3898305084745763,0.36653386454183273,46,87,72
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.22033898305084745,0.22033898305084745,0.22033898305084745,13,46,46
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.33783783783783783,0.423728813559322,0.37593984962406013,25,49,34
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.2711864406779661,0.2711864406779661,0.2711864406779661,16,43,43
llm,pi_test59_baseline_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_baseline_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.40540540540540543,0.5084745762711864,0.45112781954887216,30,44,29
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.31343283582089554,0.3559322033898305,0.33333333333333337,42,92,76
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.35074626865671643,0.3983050847457627,0.373015873015873,47,87,71
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.23728813559322035,0.23728813559322035,0.23728813559322035,14,45,45
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.37333333333333335,0.4745762711864407,0.41791044776119407,28,47,31
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.3050847457627119,0.3050847457627119,0.3050847457627119,18,41,41
llm,pi_test59_official_only_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.38666666666666666,0.4915254237288136,0.43283582089552236,29,46,30
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.27692307692307694,0.3050847457627119,0.29032258064516137,36,94,82
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.3384615384615385,0.3728813559322034,0.3548387096774193,44,86,74
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.22033898305084745,0.22033898305084745,0.22033898305084745,13,46,46
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.323943661971831,0.3898305084745763,0.3538461538461538,23,48,36
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.288135593220339,0.288135593220339,0.288135593220339,17,42,42
llm,pi_test59_official_only_5shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_only_5shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.38028169014084506,0.4576271186440678,0.41538461538461535,27,44,32
llm,pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_micro_f1,0.3416666666666667,0.3474576271186441,0.3445378151260504,41,79,77
llm,pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_micro_f1,0.36666666666666664,0.3728813559322034,0.3697478991596639,44,76,74
llm,pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_P_f1,0.2542372881355932,0.2542372881355932,0.2542372881355932,15,44,44
llm,pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_exact_I_f1,0.4262295081967213,0.4406779661016949,0.4333333333333333,26,35,33
llm,pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_P_f1,0.288135593220339,0.288135593220339,0.288135593220339,17,42,42
llm,pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini,test59,results/preds/llm/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_test59_official_plus_order_heuristic_3shot_gpt-5.4-mini.slot_metrics.json,slot_normalized_I_f1,0.4426229508196721,0.4576271186440678,0.45,27,34,32
