method,setting,split,pred_path,judge_path,summary_path,judge_evaluator_version,judge_prompt_version,dimension,value,count,rate
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,too_broad,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,too_narrow,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,mixed,53,0.8983050847457628
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,strong,1,0.01694915254237288
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,mixed,58,0.9830508474576272
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,weak,0,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,complete,9,0.45
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,partial,11,0.55
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,missing,0,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,accurate,12,0.6
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,mixed,8,0.4
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,incorrect,0,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,low,14,0.7
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,medium,6,0.3
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,high,0,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,appropriate,9,0.45
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,too_broad,1,0.05
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,too_narrow,1,0.05
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,mixed,9,0.45
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,strong,7,0.35
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,mixed,13,0.65
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,weak,0,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,complete,9,0.45
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,partial,11,0.55
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,missing,0,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,accurate,14,0.7
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,mixed,6,0.3
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,incorrect,0,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,low,14,0.7
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,medium,6,0.3
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,high,0,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,appropriate,10,0.5
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,too_broad,0,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,too_narrow,0,0.0
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,mixed,10,0.5
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,strong,8,0.4
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,mixed,12,0.6
llm,pi_dev20_baseline_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,weak,0,0.0
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,complete,11,0.55
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,partial,9,0.45
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,missing,0,0.0
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,accurate,14,0.7
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,mixed,6,0.3
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,incorrect,0,0.0
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,low,18,0.9
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,medium,2,0.1
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,high,0,0.0
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,appropriate,14,0.7
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,too_broad,1,0.05
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,too_narrow,0,0.0
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,granularity,mixed,5,0.25
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,strong,10,0.5
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,mixed,10,0.5
llm,pi_dev20_official_only_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,overall_verdict,weak,0,0.0
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,complete,9,0.45
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,partial,11,0.55
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,completeness,missing,0,0.0
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,accurate,14,0.7
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,mixed,6,0.3
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,accuracy,incorrect,0,0.0
llm,pi_dev20_official_only_5shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_official_only_5shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_official_only_5shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,noise,low,17,0.85
