method,setting,split,pred_path,judge_path,summary_path,judge_evaluator_version,judge_prompt_version,label,dimension,value,count,rate
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,completeness,partial,23,0.3898305084745763
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,completeness,missing,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,accuracy,accurate,22,0.3728813559322034
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,accuracy,mixed,37,0.6271186440677966
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,accuracy,incorrect,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,noise,low,26,0.4406779661016949
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,noise,medium,30,0.5084745762711864
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,noise,high,3,0.05084745762711865
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,granularity,appropriate,22,0.3728813559322034
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,granularity,too_broad,1,0.01694915254237288
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,granularity,too_narrow,2,0.03389830508474576
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,granularity,mixed,34,0.576271186440678
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,overall_verdict,strong,20,0.3389830508474576
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,overall_verdict,mixed,36,0.6101694915254238
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,I,overall_verdict,weak,3,0.05084745762711865
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,completeness,complete,22,0.3728813559322034
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,completeness,partial,37,0.6271186440677966
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,completeness,missing,0,0.0
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,accuracy,accurate,26,0.4406779661016949
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,accuracy,mixed,30,0.5084745762711864
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,accuracy,incorrect,3,0.05084745762711865
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,noise,low,32,0.5423728813559322
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,noise,medium,23,0.3898305084745763
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,noise,high,4,0.06779661016949153
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,granularity,appropriate,27,0.4576271186440678
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,granularity,too_broad,13,0.22033898305084745
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,granularity,too_narrow,6,0.1016949152542373
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,granularity,mixed,13,0.22033898305084745
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,overall_verdict,strong,23,0.3898305084745763
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,overall_verdict,mixed,32,0.5423728813559322
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,C,overall_verdict,weak,4,0.06779661016949153
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,completeness,complete,12,0.2033898305084746
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,completeness,partial,10,0.1694915254237288
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,completeness,missing,37,0.6271186440677966
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,accuracy,accurate,15,0.2542372881355932
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,accuracy,mixed,9,0.15254237288135594
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,accuracy,incorrect,35,0.5932203389830508
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,noise,low,36,0.6101694915254238
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,noise,medium,11,0.1864406779661017
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,noise,high,12,0.2033898305084746
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,granularity,appropriate,32,0.5423728813559322
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,granularity,too_broad,17,0.288135593220339
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,granularity,too_narrow,7,0.11864406779661017
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,granularity,mixed,3,0.05084745762711865
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,overall_verdict,strong,15,0.2542372881355932
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,overall_verdict,mixed,8,0.13559322033898305
llm,question_slot_split_v1_test59_gpt-5.4-mini_config,test59,results/preds/llm/question_slot_split_v1_test59_gpt-5.4-mini_config/validated.slots.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge.jsonl,results/metrics/question_slot_split_v1_test59_gpt-5.4-mini_config.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,O,overall_verdict,weak,36,0.6101694915254238
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,completeness,complete,18,0.9
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,completeness,partial,2,0.1
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,completeness,missing,0,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,accuracy,accurate,20,1.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,accuracy,mixed,0,0.0
llm,pi_dev20_baseline_3shot_gpt-5.4-mini,dev20,results/preds/llm/pi_dev20_baseline_3shot_gpt-5.4-mini/validated.slots.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge.jsonl,results/metrics/pi_dev20_baseline_3shot_gpt-5.4-mini.judge_metrics.json,question-judge-v1,judge_question_rubric_v1,P,accuracy,incorrect,0,0.0
