pmid,study_id,extraction_model,judge_model,slot,judgement,judgement_raw,reasoning
19798037,Nidich 2009,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official follow-up outcomes in substance: blood pressure, anxiety/depression, and coping ability were assessed at about 12 weeks, with psychological distress captured by related mood subscales."
19902798,Sazawal 1996,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted description matches the official study setting, age range, enrollment context, and follow-up subgroup details, with the only difference being that it reports 940 enrolled children for the broader analysis while the official baseline table lists 609 with group counts, which is not contradictory to the study description."
19902798,Sazawal 1996,gpt-5.4-mini,gpt-5.4-mini,interventions,inconsistent,,"The extracted text describes zinc given to children with acute diarrhoea versus placebo/waiting list control, while the official intervention specifies a 6-month daily zinc gluconate solution with multiple micronutrients, which does not match the acute diarrhoea supplementation context."
19902798,Sazawal 1996,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes align with the official morbidity and zinc-related secondary outcomes, with only minor differences in wording and measurement units."
20044929,Hegarty 2013,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted criteria differ from the official record in several key ways, including the doctors’ English-language threshold, the women’s screening/fear requirements, and the specific exclusion reasons."
20044929,Hegarty 2013,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention closely, with the same training, counselling approach, target women, number of sessions, and usual-care control, differing only in added implementation detail."
20044929,Hegarty 2013,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include several measures not listed in the official outcomes (e.g., self-esteem, self-efficacy, social support, PTSD, smoking/alcohol use, and readiness for change), and the official text also emphasizes doctor education outcomes that are absent from the extraction."
20298571,Chhagan 2009,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted participants describe 373 enrolled children with multiple subgroup counts and age follow-up to 24 months, which does not match the official baseline total N of 227 (112/115) despite overlapping setting and age."
20298571,Chhagan 2009,gpt-5.4-mini,gpt-5.4-mini,interventions,inconsistent,,"The extracted text describes three regimens including a multiple-micronutrient-plus-zinc arm, whereas the official record only lists a zinc arm and a no-zinc placebo arm."
20298571,Chhagan 2009,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes emphasize growth measures (LAZ/weight-for-age) and mention diarrhea plus respiratory illness, but the official outcomes center on mortality, hospitalization, diarrhea subtypes, vomiting, hemoglobin, and anemia with specified time points, so the sets do not match."
20395225,Alvarez 2010,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted description matches the official participant details on sample composition, eligibility, and lack of baseline differences, with the only discrepancy being the excluded participant which does not conflict with the reported total sample."
20395225,Alvarez 2010,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention content, methods, and comparison condition closely, with only minor wording differences."
20395225,Alvarez 2010,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include an ineligible third measure, clinical expertise in reporting suspected child maltreatment, which is not listed in the official protocol outcomes."
20478960,Banerjee 2010,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted description matches the official setting and broadly aligns with the participant age range and disadvantaged rural population, despite differing reporting of sample details and the inclusion of spillover groups."
20478960,Banerjee 2010,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official interventions: both describe a monthly mobile immunisation camp, with Intervention B additionally providing lentils and thalis as incentives."
20478960,Banerjee 2010,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official primary household outcomes and the 18-month duration, with only additional secondary/camp-neighbourhood analyses mentioned in the extracted text."
20579848,Palacios 2009,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants description matches the official eligibility criteria and trial context, with only minor differences in wording and completion counts that do not conflict with the stated sample characteristics."
20579848,Palacios 2009,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention details on the calcium supplement, high-dairy arm, placebo control, and 21-week duration, with only minor wording differences."
20579848,Palacios 2009,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official report overall, including body weight/BMI, DEXA-assessed fat mass/body composition, and fasting serum lipid measures over the 21-week study."
20655662,Litt 2010,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants description matches the official sample characteristics, eligibility, recruitment counts, sex and ethnicity distribution, and follow-up totals without any substantive discrepancies."
20655662,Litt 2010,gpt-5.4-mini,gpt-5.4-mini,interventions,inconsistent,,"The extracted interventions describe a trial comparing STD versus STD+CBT, not the official arms CBT and usual care."
20655662,Litt 2010,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official primary measures: MPI pain/interference and the CES-D, with additional official outcomes not mentioned in the excerpt but no contradiction."
20740213,Jo 2010,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants match the official trial details on sample size, surgery type, inclusion/exclusion criteria, and overall adult OPCAB population, with only minor added detail not conflicting with the official record."
20740213,Jo 2010,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention matches the official milrinone dose and timing during coronary artery anastomosis, and the control saline corresponds to placebo."
20740213,Jo 2010,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official primary outcomes and time points, with only minor wording differences and some additional clinically related outcomes not conflicting with the official record."
20819082,Gonzales 2006,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted participants describe two pooled randomized trials with 2,052 participants and treatment counts that do not match the official single-trial sample of 1,025 volunteers allocated as 352/329/344."
20819082,Gonzales 2006,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention details, including the three treatment arms, 12-week treatment period, self-help booklet, brief counseling at clinic visits, and scheduled follow-up visits and phone calls."
20819082,Gonzales 2006,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official report on the main smoking abstinence endpoints and CO validation, with only additional adverse-event details and post hoc quit-pattern analysis beyond the listed trial outcomes."
20830695,Deblinger 2011,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted participants add details not supported by the official text and slightly differ on demographics and recruitment wording, while the official criteria and sample characteristics are more specific than the extraction."
20830695,Deblinger 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official record’s two CBT conditions varying by 8 vs 16 weeks and presence vs absence of a trauma narrative, with caretakers included in both."
20830695,Deblinger 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include several measures and time points not listed in the official outcomes (e.g., fear, shame, WIST, BDI-II, and 4-week/8-week/16-week assessments), and they describe parent-child PTSD subclusters beyond the official summary."
21329525,Freiberger 2012,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted criteria differ from the official study: it states age 65+ with broader fall-risk criteria and different exclusions, whereas the official participants were aged ≥70 with falls in the past 6 months or fear of falling, and excluded independent ambulation and cognitive impairment."
21329525,Freiberger 2012,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention matches the official description in overall format, duration, group delivery, exercise components, fall-risk education, and fear-of-falling CBT elements, with only minor wording differences and generalization."
21329525,Freiberger 2012,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include several measures not listed in the official outcomes (e.g., FES-I, EuroQol, pain-related injury outcomes, and SPPB components), while the official list includes outcomes not captured in the extraction such as ABC, DSST, perceived consequences of falling, days walking per week, and walking speed."
21496343,Owais 2011,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participant description matches the official criteria and setting, with only a minor numerical difference in final enrolled pairs that does not alter eligibility details."
21496343,Owais 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention and control descriptions match the official account in content, delivery method, duration, and messaging, with only minor wording differences."
21496343,Owais 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcome matches the official primary outcome and timing, with only extra details added that do not conflict."
21543987,Van der Ploeg 2010,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted cohort and eligibility criteria match the official trial description, including age, GAA deficiency/mutations, walking and FVC requirements, key exclusions, and the randomized 2:1 alglucosidase alfa/placebo design with the cardiovascular substudy’s exclusion of participants under 17 for adult norms."
21543987,Van der Ploeg 2010,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention details, including alglucosidase alfa 20 mg/kg every other week for 78 weeks and a placebo control arm."
21543987,Van der Ploeg 2010,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes add respiratory measures like FEV and generic treatment-related reactions, but the official outcomes specify TEAEs, 6MWT, % predicted FVC, pharmacokinetics, and secondary QMT/SF-36 measures, so the sets do not match."
21666789,Veenemans 2011,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted criteria differ from the official record, notably using weight-for-age instead of weight-for-height and omitting the requirement that children be likely to remain resident and comply with interventions, while the reported analyzed sample size also does not match the official total enrolled N."
21666789,Veenemans 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted text correctly captures the daily 10 mg zinc arm, the placebo comparison, and the factorial multi-nutrient groups with and without zinc, matching the official intervention details."
21666789,Veenemans 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes focus on malaria, diarrhoea, fever, and nutrition measures, but the official outcomes include all-cause mortality, hospitalization, LRTI, and specific biochemical/nutritional endpoints with different definitions and time points."
21680092,Turner 2011,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participant description matches the official criteria and sample details, with only minor paraphrasing of exclusions and the same overall female, premenopausal TMD pain population and analysis sample size."
21680092,Turner 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted interventions match the official ones, with detailed descriptions corresponding to self-management therapy, targeted self-management therapy, and continuous oral contraceptive therapy."
21680092,Turner 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include several measures not listed in the official review outcomes, and the official list includes GCPS and adverse effects in a different way, so the outcome reporting is not fully consistent."
21723049,Brewer 2011,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted summary matches the official eligibility criteria, recruitment methods, and baseline participant characteristics closely, with only minor differences in wording and grouping."
21723049,Brewer 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official interventions on the core elements, timing, matched session structure, quit date, home-practice materials, and nicotine replacement guidance, with only minor paraphrasing."
21723049,Brewer 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes include the 17-week 7-day point prevalence abstinence endpoint, which matches the official outcome."
21775755,Ziegler 2011,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted description matches the official participant criteria and baseline demographics closely, with only minor wording differences and no substantive contradictions."
21775755,Ziegler 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention matches the official description in dose, route, formulation, placebo control, and once-daily administration, with the added 1:1 randomization and blinding details not contradicting the official text."
21775755,Ziegler 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official primary and secondary outcomes, including the composite NIS-LL+7 components and the listed secondary measures, with no substantive discrepancies."
21830317,Treggiari 2011,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted description matches the official criteria for age and newly acquired Pseudomonas aeruginosa status, with the only difference being that it refers to the analyzed cohort rather than all randomized participants."
21830317,Treggiari 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,inconsistent,,"The extracted text describes an initial open-label eradication phase plus a maintenance phase with repeated quarterly inhaled tobramycin, whereas the official text specifies 28 days of TNS with or without ciprofloxacin followed by cycled versus culture-based therapy and notes possible interim antimicrobial treatment before trial therapy."
21830317,Treggiari 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes add a 15-month maintenance-phase framework, initial eradication at week 10, and specific recurrence measures that do not match the official primary and secondary outcomes focused on IV-therapy exacerbations, culture positivity, and additional clinical/microbiological endpoints."
21933436,Dorresteijn 2016,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participant description matches the official criteria and sample characteristics, including setting, age, inclusion/exclusion criteria, and total number enrolled."
21933436,Dorresteijn 2016,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention’s home-based 7-session AMB format, themes, nurse delivery, and inclusion of an in vivo activity exposure with action planning, with only minor added detail about techniques that do not contradict the record."
21933436,Dorresteijn 2016,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official outcomes, including FES-I, FES-IAB, GARS, and number of falls recorded via a fall diary/calendar."
21970320,Zemel 2009,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted participants describe 105 enrollees across three institutions with 61 analyzable participants and a three-arm design including dairy, but the official participants report only two groups with n=36 and n=38 and different baseline characteristics."
21970320,Zemel 2009,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted interventions match the official description in diet composition, calcium amounts, placebo control, blinding status, and 12-week duration."
21970320,Zemel 2009,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the trial’s reported body weight and fat mass measures and are broadly aligned with the described baseline and week 12 anthropometric, metabolic, and dietary assessments."
21977314,Daubenmier 2011,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants description matches the official criteria and sample details, with only minor paraphrasing and no substantive contradictions."
21977314,Daubenmier 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention matches the official description in content, structure, duration, home practice, and the shared nutrition/exercise session, with only minor wording differences."
21977314,Daubenmier 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes list many primary, secondary, psychological, behavioral, adherence, and biological measures, whereas the official record only reports follow-up at 16 weeks for anxiety and weight."
22318468,Nur 2012,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants match the official description in diagnosis, adult outpatient status, HPLC confirmation, and study site, with only additional detail on counts and exclusion criteria."
22318468,Nur 2012,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention matches the official description of oral NAC at 1200 mg/day or 2400 mg/day taken twice daily for 6 weeks, with the follow-up period omitted but not contradictory."
22318468,Nur 2012,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official primary endpoint and broadly align with the listed secondary endpoints, with added detail rather than contradiction."
22338101,Kopf 2014,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants match the official description on clinic, disease type, albuminuria, sample size, randomization groups, and follow-up, with no conflicting details."
22338101,Kopf 2014,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention and usual care details, including the adapted 8-week MBSR format, group size, booster session, leaders, and standardized diabetes outpatient care."
22338101,Kopf 2014,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes describe a much broader 5-year endpoint set with albuminuria, psychiatric measures, blood pressure by 24-hour monitoring, mortality, cardiovascular events, and inflammatory markers, whereas the official record reports different follow-up timing and a narrower set of outcomes including SBP/DBP, lipids, FBG, BMI, HRQoL, and clinical events."
22396225,Blom 2013,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted criteria add several restrictions not stated officially, including a requirement to accept a possible 12-week waiting period and broader exclusion wording about repeated ambulatory monitoring, so the descriptions are not fully aligned."
22396225,Blom 2013,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted intervention matches the official description in duration, group size, session structure, homework practice, and core MBSR elements, with only minor paraphrasing and extra examples."
22396225,Blom 2013,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include many additional secondary measures beyond the official outcomes, and the primary/secondary timing and listed blood pressure endpoints do not match exactly."
22454006,Strowitzki 2012,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participant description matches the official criteria on age, smoking restrictions, primary moderate-to-severe dysmenorrhoea, and baseline pain score, with only minor differences in reporting the analyzed sample versus randomized/completed counts."
22454006,Strowitzki 2012,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted text describes the same EE 20 μg/drospirenone 3 mg extended flexible regimen and conventional 24/4 regimen over 140 days, with only minor wording differences and added rescue ibuprofen."
22454006,Strowitzki 2012,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes cover the same core efficacy and safety domains as the official list, with only minor wording/detail differences and no substantive mismatch."
22632135,Sharif 2012,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participant description matches the official criteria, recruitment, sample size, and dropout information without any substantive contradictions."
22632135,Sharif 2012,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention on format, duration, session count, content, delivery, and control condition, with only minor differences in wording and additional detail."
22632135,Sharif 2012,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official report for psychiatric symptoms (BPRS) and caregiver burden (validated Persian family burden questionnaire), with the extra extracted medication-compliance detail not conflicting with the listed outcomes."
22686269,Danielson 2012,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants match the official description on sample size, age range, gender distribution, caregiver composition, Medicaid status, revictimization/other trauma history, and time since assault, with no conflicting details."
22686269,Danielson 2012,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official interventions in that both involve family/caretaker-included therapy for adolescent sexual abuse victims with similar session length and a usual-care comparison, despite differences in naming and detail."
22686269,Danielson 2012,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official measures and assessment time points, and the additional substance use/risk factor details are compatible with the listed quantitative outcomes."
22697448,McCabe 2009,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants description matches the official sample and eligibility criteria overall, including Mexican American families, sample size, child age range, clinical behavior cutoff, and the predominance of boys and female primary caregivers."
22697448,McCabe 2009,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted interventions match the official descriptions in substance, including PCIT, culturally adapted GANA, and eclectic TAU with bilingual clinic therapists."
22697448,McCabe 2009,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes focus on long-term follow-up measures including CBCL, ECI-4, PSI-SF, and PLOC, whereas the official outcomes specify pre/post intervention ECBI, CBCL externalizing, PPS, PSS, and engagement/dropout measures, so the lists do not match."
22723573,TEMSO 2011,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted text matches the official participant criteria and overall baseline characteristics, with only minor additional details not in conflict."
22723573,TEMSO 2011,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,The extracted text matches the official interventions in identifying teriflunomide 7 mg and 14 mg once daily and placebo over a similar treatment duration.
22723573,TEMSO 2011,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes emphasize ARR over 108 weeks and 12-week confirmed disability progression, whereas the official outcomes specify relapse at 12 and 24 months, disability worsening at 24 months, and safety/withdrawal outcomes, so the timeframes and endpoints do not match."
22839453,Ashby 2012,gpt-5.4-mini,gpt-5.4-mini,participants,inconsistent,,"The extracted description says only 12 participants were recruited and randomized, whereas the official record states 44 participants were included in the analysis, with broader eligibility criteria."
22839453,Ashby 2012,gpt-5.4-mini,gpt-5.4-mini,interventions,inconsistent,,"The extracted interventions describe NPWT versus standard care with multiple dressing options and flexible routine practice, whereas the official text specifies a fixed VAC regimen for one group and saline gauze care with debridement and measurements for the other, so the treatments do not match."
22839453,Ashby 2012,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include many feasibility and clinical measures beyond the official primary and secondary outcomes, which only list complete wound healing and adverse events."
22934754,Koenig 2012,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"Both descriptions report 28 participants with similar age and sex distribution, and the differences in group allocation and ethnic breakdown do not conflict with the extracted participant information."
22934754,Koenig 2012,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted interventions match the official description in dose, topical route, three-arm randomization, 6-month treatment duration, and application/wash-off procedure, with only minor wording differences."
22934754,Koenig 2012,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official outcomes in measuring rapamycin concentrations and complete blood counts for safety and participant perception of skin appearance for efficacy, with adverse events also included officially."
22956296,HCSF 1 2007,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted description matches the official participant criteria and population closely, including the tribes involved, child age range, home setting, exclusion of major physical or behavioral disorders, and family-level randomization."
22956296,HCSF 1 2007,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention on the core design, delivery format, target population, content, duration, and mentor role, with only minor paraphrasing."
22956296,HCSF 1 2007,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include many additional primary and secondary measures and multiple time points beyond the official record, which lists only BMI z-score and SF-12 outcomes at 12 months."
23149426,Schneider 2012,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants match the official inclusion and exclusion criteria and recruitment source, with only minor wording differences that do not change the meaning."
23149426,Schneider 2012,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official interventions on the TM course structure, practice schedule, follow-up meetings, and the health education control’s matched format and heart-healthy home practice."
23149426,Schneider 2012,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official primary and secondary clinical endpoints and include the listed intermediate measures, with only additional detail rather than contradiction."
23230425,Lahti 2007,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted text matches the official criteria and demographics overall, and the reduction from 37 enrolled to 29 analyzed is explained by dropout."
23230425,Lahti 2007,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official intervention details, including the two drugs and their reported dose ranges."
23230425,Lahti 2007,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes add specific task-performance measures and detailed PET connectivity endpoints that are not reflected in the official outcomes, which list only BPRS, extrapyramidal adverse effects, and H215O PET scanning."
23316894,Cone 2013,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participant description matches the official criteria and demographics, including sample size, gestational age, ventilatory and suctioning status, exclusions, sex distribution, and non-Hispanic ethnicity."
23316894,Cone 2013,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official 4-handed care intervention and routine suctioning control, including supportive touch/positioning during endotracheal suctioning until self-regulation was achieved."
23316894,Cone 2013,gpt-5.4-mini,gpt-5.4-mini,outcomes,consistent,,"The extracted outcomes match the official outcomes in all key measures and time points, including ABSS, heart rate, SaO2/SpO2, salivary cortisol, and counts of stress/defense and self-regulatory behaviors."
23335901,Kosten 2013,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants description matches the official study details overall, including sample size after screening, demographics, setting, inclusion/exclusion criteria, and baseline cocaine use being in the same general range."
23335901,Kosten 2013,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted text matches the official intervention details, including disulfiram/placebo dosing, methadone maintenance at 60 mg/day, CBT, and the 12-week duration."
23335901,Kosten 2013,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes describe urine-based cocaine use over a 12-week treatment period and mention no explicit treatment adherence, daily crack dose, drug-free rate, or side effects outcome as specified in the official record."
23394263,APPAC 2015,gpt-5.4-mini,gpt-5.4-mini,participants,consistent,,"The extracted participants match the official inclusion and exclusion criteria, including age range, CT-confirmed uncomplicated appendicitis, emergency department admission, informed consent, and the listed exclusions."
23394263,APPAC 2015,gpt-5.4-mini,gpt-5.4-mini,interventions,consistent,,"The extracted description matches the official regimens and surgery details overall, with only minor extra notes about monitoring and allergy alternatives that do not contradict the official interventions."
23394263,APPAC 2015,gpt-5.4-mini,gpt-5.4-mini,outcomes,inconsistent,,"The extracted outcomes include several measures not listed in the official outcomes (e.g. specific SSI classifications, late recurrence definition, and antibiotic adverse reactions), while the official list includes outcomes not extracted (e.g. appendix histology, QoL, patient satisfaction, malignancy, complicated appendicitis at surgery)."
