method,setting,split,raw_path,judge_path,summary_path,judge_evaluator_version,judge_prompt_version,dimension,value,count,rate
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_broad,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_narrow,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,strong,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-70/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,weak,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,complete,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,partial,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,missing,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,accurate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,incorrect,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,low,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,medium,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,high,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,appropriate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_broad,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_narrow,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,strong,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-105/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,weak,0,0.0
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,complete,104,0.5445026178010471
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,partial,87,0.45549738219895286
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,missing,0,0.0
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,accurate,77,0.4031413612565445
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,mixed,114,0.5968586387434555
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,incorrect,0,0.0
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,low,43,0.225130890052356
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,medium,144,0.7539267015706806
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,high,4,0.020942408376963352
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,appropriate,41,0.21465968586387435
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_broad,0,0.0
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_narrow,0,0.0
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,mixed,150,0.7853403141361257
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,strong,54,0.28272251308900526
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,mixed,136,0.7120418848167539
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/raw.jsonl,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/judge.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,weak,1,0.005235602094240838
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,complete,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,partial,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,missing,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,accurate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,incorrect,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,low,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,medium,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,high,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,appropriate,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_broad,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_narrow,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,strong,2,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_resume_skips_complete0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,weak,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,complete,1,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,partial,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,completeness,missing,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,accurate,1,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,accuracy,incorrect,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,low,1,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,medium,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,noise,high,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,appropriate,1,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_broad,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,too_narrow,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,granularity,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,strong,1,1.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,mixed,0,0.0
llm,default,test,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/raw.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge.jsonl,/tmp/pytest-of-root/pytest-111/test_cli_writes_partial_result0/judge_metrics.json,phase9-judge-v1,judge_rubric_v1,overall_verdict,weak,0,0.0
