run_id,method,benchmark,split,input_setting,readiness_profile,sensitivity,specificity,precision,balanced_accuracy,macro_f1,false_negative_count,high_confidence_threshold,high_confidence_false_negative_count,full_text_workload,full_text_workload_reduction,unsupported_exclusion_rate,hallucinated_reason_rate,placeholder_status,reference_sensitivity,sensitivity_gap_vs_reference,decision_ready,overall_ready,blocked_by_placeholder,failed_checks
csmed_ft_test_abs_benchmark_aligned_gpt52_v2_full,direct_criteria_aware,csmed_ft,test,abstract_only,stage1,0.843065693430657,0.29829545454545453,0.48326359832635984,0.5706805739880557,0.5171808510638297,43,,,0.0,1.0,,,not_evaluated,,,False,False,False,sensitivity_gte_0.98;false_negative_count_eq_0
run-v3,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,,1.0,1.0,1.0,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
run-full-text,direct_criteria_aware,csmed_ft,test-small,full_text_only,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_test_small_abs_v3_smoke20,direct_criteria_aware,csmed_ft,test-small,abstract_only,stage1,1.0,0.26666666666666666,0.3125,0.6333333333333333,0.4486215538847118,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_test_abs_v3_full,direct_criteria_aware,csmed_ft,test,abstract_only,stage1,0.8248175182481752,0.28895184135977336,0.47379454926624737,0.5568846798039743,0.5037153907447459,48,,,0.0,1.0,,,not_evaluated,,,False,False,False,sensitivity_gte_0.98;false_negative_count_eq_0
csmed_ft_test_abs_v3_full_rerun_20260516,direct_criteria_aware,csmed_ft,test,abstract_only,stage1,0.825925925925926,0.32193732193732194,0.4837310195227766,0.5739316239316239,0.5261965888617314,47,,,0.0,1.0,,,not_evaluated,,,False,False,False,sensitivity_gte_0.98;false_negative_count_eq_0
criterion-run,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
criterion-resume,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_test_small_fulltext_criterion_v1_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,1.0,0.0,0.44680851063829785,0.5,0.6176470588235294,0,,,1.0,0.0,,,not_evaluated,,,False,False,True,balanced_accuracy_gte_0.80;reason_metrics_not_implemented
csmed_ft_test_small_fulltext_probe1_v2_20260516_fix2,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_test_small_fulltext_criterion_v3_smoke1_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_test_small_fulltext_criterion_v3_gpt54mini_smoke1_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_test_small_absft_criterion_v3_gpt54mini_smoke1_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,abstract_plus_full_text,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_test_small_fulltext_criterion_v3_gpt54mini_smoke3_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,1.0,1.0,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_test_small_absft_criterion_v3_gpt54mini_smoke3_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,abstract_plus_full_text,full_text,1.0,0.5,0.5,0.75,0.6666666666666666,0,,,1.0,0.0,,,not_evaluated,,,False,False,True,balanced_accuracy_gte_0.80;reason_metrics_not_implemented
csmed_ft_test_small_fulltext_criterion_v3_gpt54mini_retry_failed_0312_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,,1.0,,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;reason_metrics_not_implemented
csmed_ft_test_small_absft_criterion_v3_gpt54mini_full_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,abstract_plus_full_text,full_text,0.7142857142857143,0.8461538461538461,0.7894736842105263,0.7802197802197802,0.7824074074074074,6,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_test_small_fulltext_criterion_v3_gpt54mini_full_20260516,criterion_wise_evidence_grounded,csmed_ft,test-small,full_text_only,full_text,0.7142857142857143,0.7307692307692307,0.6818181818181818,0.7225274725274725,0.7213862289101687,6,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_test_absft_criterion_v3_gpt54mini_full_20260516,criterion_wise_evidence_grounded,csmed_ft,test,abstract_plus_full_text,full_text,0.6692307692307692,0.8454810495626822,0.7665198237885462,0.7573559093967257,0.7606274971226863,86,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_test_absft_criterion_v3_gpt54mini_retry_failed_20260516,criterion_wise_evidence_grounded,csmed_ft,test,abstract_plus_full_text,full_text,0.7142857142857143,1.0,1.0,0.8571428571428572,0.8166666666666667,2,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_test_absft_criterion_v3_gpt54mini_full_completed_20260516,criterion_wise_evidence_grounded,csmed_ft,test,abstract_plus_full_text,full_text,0.6704119850187266,0.8472622478386167,0.771551724137931,0.7588371164286716,0.7620096159396982,88,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_direct_v2_gpt54mini_smoke5_20260516,direct_criteria_aware,csmed_ft,dev,abstract_plus_full_text,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_dev_fulltext_direct_v2_gpt54mini_smoke5_20260516,direct_criteria_aware,csmed_ft,dev,full_text_only,full_text,1.0,,1.0,1.0,1.0,0,,,1.0,0.0,,,not_evaluated,,,True,False,True,reason_metrics_not_implemented
csmed_ft_dev_absft_direct_v2_gpt54mini_full_20260516,direct_criteria_aware,csmed_ft,dev,abstract_plus_full_text,full_text,0.9128205128205128,0.3411764705882353,0.388646288209607,0.626998491704374,0.519606794482809,17,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_fulltext_direct_v2_gpt54mini_full_20260516,direct_criteria_aware,csmed_ft,dev,full_text_only,full_text,0.9067357512953368,0.2911694510739857,0.3707627118644068,0.5989526011846612,0.48140476414650224,18,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_direct_v2_gpt54mini_retry_failed_20260516,direct_criteria_aware,csmed_ft,dev,abstract_plus_full_text,full_text,1.0,0.5,0.5,0.75,0.6666666666666666,0,,,1.0,0.0,,,not_evaluated,,,False,False,True,balanced_accuracy_gte_0.80;reason_metrics_not_implemented
csmed_ft_dev_fulltext_direct_v2_gpt54mini_retry_failed_20260516,direct_criteria_aware,csmed_ft,dev,full_text_only,full_text,0.8571428571428571,0.35714285714285715,0.4,0.6071428571428571,0.5227272727272727,1,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_direct_v2_gpt54mini_full_completed_20260516,direct_criteria_aware,csmed_ft,dev,abstract_plus_full_text,full_text,0.9137055837563451,0.34265734265734266,0.38961038961038963,0.6281814632068439,0.5210331971124935,17,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_fulltext_direct_v2_gpt54mini_full_completed_20260516,direct_criteria_aware,csmed_ft,dev,full_text_only,full_text,0.905,0.29330254041570436,0.37166324435318276,0.5991512702078522,0.4828080337277795,19,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_raw_v3_gpt54mini_smoke5_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.2,,1.0,0.2,0.33333333333333337,4,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_fixed_v1_gpt54mini_smoke5_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.0,,,0.0,,5,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_hybrid_v1_gpt54mini_smoke5_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.0,,,0.0,,5,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_raw_v3_gpt54mini_full_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.6153846153846154,0.839622641509434,0.6382978723404256,0.7275036284470247,0.7296901958987982,75,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_fixed_v1_gpt54mini_full_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.09947643979057591,0.9716981132075472,0.6129032258064516,0.5355872764990616,0.4943157443157443,172,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_hybrid_v1_gpt54mini_full_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.07653061224489796,0.9834905660377359,0.6818181818181818,0.5300105891413169,0.4768308228154904,181,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_raw_v3_gpt54mini_retry_failed_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.5,1.0,1.0,0.75,0.7878787878787878,1,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_hybrid_v1_gpt54mini_retry_failed_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.0,1.0,,0.5,0.9090909090909091,1,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_fixed_v1_gpt54mini_retry_failed_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6071428571428572,4,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_raw_v3_gpt54mini_full_completed_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.6142131979695431,0.8414918414918415,0.6402116402116402,0.7278525197306923,0.7303306249925211,76,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_hybrid_v1_gpt54mini_full_completed_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.07614213197969544,0.9836829836829837,0.6818181818181818,0.5299125578313395,0.4770120277420467,182,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_absft_criterion_fixed_v1_gpt54mini_full_completed_20260516,criterion_wise_evidence_grounded,csmed_ft,dev,abstract_plus_full_text,full_text,0.1065989847715736,0.972027972027972,0.6363636363636364,0.5393134783997728,0.49932783119203605,176,,,1.0,0.0,,,not_evaluated,,,False,False,True,sensitivity_gte_0.95;balanced_accuracy_gte_0.80;false_negative_count_eq_0;reason_metrics_not_implemented
csmed_ft_dev_abstract_direct_v3_gpt54mini_smoke5_20260516,direct_criteria_aware,csmed_ft,dev,abstract_only,stage1,1.0,,1.0,1.0,1.0,0,,,0.0,1.0,,,not_evaluated,,,True,True,False,
csmed_ft_dev_abstract_direct_v3_gpt54mini_full_20260516,direct_criteria_aware,csmed_ft,dev,abstract_only,stage1,0.8375634517766497,0.5103448275862069,0.4365079365079365,0.6739541396814284,0.6091626175301319,32,,,0.0,1.0,,,not_evaluated,,,False,False,False,sensitivity_gte_0.98;false_negative_count_eq_0
csmed_ft_dev_two_stage_abstract_direct_v3_to_absft_criteria_raw_v3_gpt54mini_20260516,two_stage,csmed_ft,dev,abstract_plus_full_text,two_stage,0.5634517766497462,0.8997668997668997,0.7207792207792207,0.731609338208323,0.7446521908231121,86,,,0.597444089456869,0.402555910543131,,,not_evaluated,0.6142131979695431,0.050761421319796884,False,False,False,false_negative_count_eq_0;sensitivity_within_reference_gap
csmed_ft_dev_two_stage_abstract_direct_v3_to_absft_direct_v2_gpt54mini_20260516,two_stage,csmed_ft,dev,abstract_plus_full_text,two_stage,0.8274111675126904,0.5501165501165501,0.45786516853932585,0.6887638588146203,0.6323810558612535,34,,,0.597444089456869,0.402555910543131,,,not_evaluated,0.9137055837563451,0.08629441624365475,False,False,False,false_negative_count_eq_0;sensitivity_within_reference_gap
csmed_ft_test_two_stage_abstract_direct_v3_to_absft_criteria_raw_v3_gpt54mini_20260516,two_stage,csmed_ft,test,abstract_plus_full_text,two_stage,0.6142322097378277,0.8703170028818443,0.784688995215311,0.742274606309836,0.7461335598069014,103,,,0.7312703583061889,0.2687296416938111,,,not_evaluated,0.6704119850187266,0.0561797752808989,False,False,False,false_negative_count_eq_0;sensitivity_within_reference_gap
